109.00 4.00 0.06 0.00 0.06
126.00 7.00 0.06 0.00 0.05
144.00 10.00 0.06 0.00 0.04
162.00 12.00 0.06 0.00 0.03
181.00 13.00 0.06 0.00 0.02
202.00 16.00 0.06 0.00 0.01
222.00 20.00 0.06 0.00 0.00
100.00 18.00 0.05 0.00 0.06
115.00 20.00 0.05 0.00 0.05
133.00 22.00 0.05 0.00 0.04
152.00 24.00 0.05 0.00 0.03
170.00 27.00 0.05 0.00 0.02
190.00 31.00 0.05 0.00 0.01
211.00 34.00 0.05 0.00 0.00
87.00 31.00 0.04 0.00 0.06
103.00 34.00 0.04 0.00 0.05
123.00 37.00 0.04 0.00 0.04
139.00 40.00 0.04 0.00 0.03
160.00 44.00 0.04 0.00 0.02
181.00 45.00 0.04 0.00 0.01
201.00 48.00 0.04 0.00 0.00
77.00 46.00 0.03 0.00 0.06
93.00 48.00 0.03 0.00 0.05
111.00 51.00 0.03 0.00 0.04
130.00 54.00 0.03 0.00 0.03
148.00 58.00 0.03 0.00 0.02
169.00 62.00 0.03 0.00 0.01
189.00 66.00 0.03 0.00 0.00
64.00 63.00 0.02 0.00 0.06
80.00 64.00 0.02 0.00 0.05
99.00 66.00 0.02 0.00 0.04
115.00 70.00 0.02 0.00 0.03
138.00 75.00 0.02 0.00 0.02
160.00 78.00 0.02 0.00 0.01
180.00 83.00 0.02 0.00 0.00
53.00 78.00 0.01 0.00 0.06
68.00 79.00 0.01 0.00 0.05
86.00 83.00 0.01 0.00 0.04
105.00 87.00 0.01 0.00 0.03
124.00 92.00 0.01 0.00 0.02
145.00 96.00 0.01 0.00 0.01
166.00 101.00 0.01 0.00 0.00
41.00 95.00 0.00 0.00 0.06
56.00 100.00 0.00 0.00 0.05
74.00 100.00 0.00 0.00 0.04
94.00 106.00 0.00 0.00 0.03
113.00 111.00 0.00 0.00 0.02
133.00 117.00 0.00 0.00 0.01
156.00 121.00 0.00 0.00 0.00
51.00 115.00 0.00 0.01 0.06
65.00 115.00 0.00 0.01 0.05
81.00 119.00 0.00 0.01 0.04
99.00 124.00 0.00 0.01 0.03
118.00 129.00 0.00 0.01 0.02
140.00 133.00 0.00 0.01 0.01
161.00 135.00 0.00 0.01 0.00
58.00 128.00 0.00 0.02 0.06
73.00 131.00 0.00 0.02 0.05
89.00 134.00 0.00 0.02 0.04
108.00 139.00 0.00 0.02 0.03
127.00 144.00 0.00 0.02 0.02
147.00 149.00 0.00 0.02 0.01
167.00 152.00 0.00 0.02 0.00
67.00 143.00 0.00 0.03 0.06
82.00 146.00 0.00 0.03 0.05
98.00 150.00 0.00 0.03 0.04
115.00 156.00 0.00 0.03 0.03
136.00 160.00 0.00 0.03 0.02
155.00 166.00 0.00 0.03 0.01
177.00 169.00 0.00 0.03 0.00
75.00 157.00 0.00 0.04 0.06
89.00 161.00 0.00 0.04 0.05
108.00 165.00 0.00 0.04 0.04
126.00 169.00 0.00 0.04 0.03
144.00 175.00 0.00 0.04 0.02
163.00 179.00 0.00 0.04 0.01
183.00 185.00 0.00 0.04 0.00
84.00 170.00 0.00 0.05 0.06
98.00 175.00 0.00 0.05 0.05
114.00 178.00 0.00 0.05 0.04
132.00 182.00 0.00 0.05 0.03
150.00 189.00 0.00 0.05 0.02
171.00 194.00 0.00 0.05 0.01
188.00 199.00 0.00 0.05 0.00
92.00 182.00 0.00 0.06 0.06
105.00 186.00 0.00 0.06 0.05
122.00 189.00 0.00 0.06 0.04
138.00 195.00 0.00 0.06 0.03
157.00 201.00 0.00 0.06 0.02
175.00 205.00 0.00 0.06 0.01
197.00 212.00 0.00 0.06 0.00
177.00 118.00 0.01 0.01 0.00
188.00 100.00 0.02 0.01 0.00
199.00 83.00 0.03 0.01 0.00
210.00 66.00 0.04 0.01 0.00
219.00 50.00 0.05 0.01 0.00
230.00 35.00 0.06 0.01 0.00
183.00 135.00 0.01 0.02 0.00
193.00 118.00 0.02 0.02 0.00
207.00 98.00 0.03 0.02 0.00
215.00 84.00 0.04 0.02 0.00
224.00 68.00 0.05 0.02 0.00
232.00 53.00 0.06 0.02 0.00
189.00 150.00 0.01 0.03 0.00
199.00 133.00 0.02 0.03 0.00
209.00 117.00 0.03 0.03 0.00
220.00 101.00 0.04 0.03 0.00
228.00 83.00 0.05 0.03 0.00
239.00 70.00 0.06 0.03 0.00
194.00 166.00 0.01 0.04 0.00
207.00 147.00 0.02 0.04 0.00
217.00 132.00 0.03 0.04 0.00
225.00 116.00 0.04 0.04 0.00
235.00 101.00 0.05 0.04 0.00
242.00 85.00 0.06 0.04 0.00
201.00 179.00 0.01 0.05 0.00
211.00 163.00 0.02 0.05 0.00
220.00 147.00 0.03 0.05 0.00
229.00 131.00 0.04 0.05 0.00
238.00 115.00 0.05 0.05 0.00
246.00 101.00 0.06 0.05 0.00
207.00 192.00 0.01 0.06 0.00
214.00 175.00 0.02 0.06 0.00
222.00 159.00 0.03 0.06 0.00
232.00 143.00 0.04 0.06 0.00
241.00 127.00 0.05 0.06 0.00
250.00 113.00 0.06 0.06 0.00
